SALURAN : 		S. S. GROMPOL																																																												
Jenis sal (0.Profil 1. Main System 2. Tersier 3. Drain) :				1																																																										
Jenis Bangunan : 1.Bendung 2. Bagi  3.Sadap 4.Terjun 5.Gr Pembawa 6.Gr Pembuang 7.Jembatan 8.Talang 9.Siphon 10.Got miring 11.Pelimpah samping 12.Box Tersier 13.Box Kwarter 14.Jembatan org 15.Tempat ui 16.Mandi Hewan 17.PengurA																																																														
"Keterangan ross : R (rumah), P (pagar), J (jalan), T (tanggul), D (dAar sal), L (lining), W (Rawa), S (sawah), K (kebun), B(boundary)"																																																														
PATOK	X	Y	Z	Azimuth kiri			Dim sal	HWL1	X	Setion																																																				
				jam	mnt	dtk				1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22																															
jarak	Nama bangunan	Tipe bangunan	z (head loss)	El. Dr	El. T ka	El. T ki	Lining	HWL2	tnh Ali																																																					
step methode(y/n/d)				El. Dr2	El. T ka2	El. T ki2	K	Water level	Bed level																																																					
	BGP 2	3								-3.565992989	-1.049789503	0	0.358134053	0.548566313	1.946763982	3.061157951	4.39620575	5.452363157	5.680879245	6.697316776	10.0408767	12.15092741																																								
														T1L	D1L	L	D1L	T1L		J	J																																									
GP.25	613484.386	9143359.488	55.817							55.314	55.548	54.969	55.02	55.595	55.808	55.639	55.314	54.407	54.451	54.405	55.848	55.847	55.9	55.901	55.78																																					
										-3.707329093	-2.818922667	-2.571519784	-1.736756172	-1.083966789	0	0.480634997	0.928294134	1.869303881	3.447670663	4.615418724	5.712787148	6.020796708	7.689036871	9.978907004	11.032																																					
																	T1L	D1L	L	D1L	T1L		J	J																																						
GP.26	613494.528	9143406.434	55.805							55.349	55.483	54.936	54.936	55.556	55.782	55.624	55.284	54.385	54.387	54.385	55.906	55.906	55.943	55.943	55.463																																					
										-3.753579758	-2.70693646	-2.479808461	-1.70806206	-0.722524049	0	0.517843606	0.97766303	2.031615367	3.101160105	4.744852052	5.762784483	5.88319641	6.957321467	9.922619059	11.25922631																																					
																	T1L	D1L	L	D1L	T1L		J	J																																						
GP.27	613503.842	9143454.797	55.882							55.526	55.542	54.999	55.054	55.666	55.882	55.624	55.358	54.521	54.439	54.481	55.329	55.895	55.86	55.839	55.837	55.222	55.131																																			
										-2.577759104	-2.338106071	-2.070014734	-1.425965287	-0.438320659	0	0.402435088	0.854687077	1.839983696	3.081808884	4.655856527	5.536229493	5.720039511	6.826157045	9.009270115	10.38994023	10.56115055	12.87299177																																			
																	T1L	D1L	L	D1L	T1L		J	J																																						
GP.28	613512.926	9143502.974	55.785							55.231	55.509	54.811	54.995	55.687	55.787	55.534	55.271	54.464	54.463	54.461	55.347	55.933	55.933	55.884	55.821	55.11	54.977																																			
										-3.644524797	-2.90065958	-2.542071006	-1.635770461	-1.119759349	0	0.486805916	0.958117425	1.895952795	3.14616163	4.608125866	5.396688799	5.634861933	6.557861237	9.234222923	10.32745763	10.44901876	12.83423114																																			
																	T1L	D1L	L	D1L	T1L		J	J																																						
GP.29	613520.570	9143551.355	-0.262							55.459	55.458	54.753	54.87	55.528	55.807	55.582	55.307	54.528	54.393	54.39	55.324	55.79	55.771	55.719	55.666	55.019	55.53																																			
										-3.319759329	-2.834694516	-2.565506578	-2.141837763	-1.471838646	0	0.677	1.271019276	2.129894364	3.523928773	4.918469782	5.905111769	6.053502788	6.8887067	9.379002612	10.69170688	11.16541311	13.64868463																																			
																	T1L	D1L	L	D1L	T1L		J	J																																						
GP.30	613512.430	9143596.570	55.732							55.022	54.866	55.472	55.732	55.484	55.097	54.181	54.208	54.207	55.624	55.43	55.288	55.208																																								
										-3.633309924	-2.290994762	-1.608068718	0	0.352080956	1.140195158	2.331585941	3.670275194	5.114074012	6.087758619	6.368603693	8.717337208	11.73431127																																								
															T1L	D1L	L	D1L	T1L		J	J																																								
GP.31	613499.909	9143624.394	55.434							54.9	54.805	55.161	55.495	55.318	55.023	54.11	54.152	54.142	55.245	55.177	55.144																																									
										-2.259412534	-1.58314434	-1.039203541	0	0.32689142	0.786000637	1.77333725	2.717346684	4.256879726	5.27495308	5.478751136	7.591654629																																									
															T1L	D1L	L	D1L	T1L																																											
GP.32	613494.144	9143668.871	55.637							54.778	54.825	55.479	55.637	55.481	55.181	54.266	54.227	54.294	55.131	55.394	55.351	54.764																																								
	BGP 3	3								-5.445859344	-2.030812645	-0.855741199	0	0.394312059	0.70886529	1.776818787	3.188599222	4.697125611	5.669324916	6.227984024	7.895899189	11.20952635																																								
															T1L	D1L	L	D1L	T1L																																											
GP.33	613487.118	9143717.205	55.433							54.662	54.742	55.432	55.433	55.302	54.888	54.306	54.28	54.293	54.925	55.268	55.238	54.62	54.637																																							
										-5.195042733	-2.179588264	-1.838465121	0	0.541225461	0.832101556	1.585686287	2.536501725	3.497476948	4.223895477	4.362272458	5.83215269	7.797663817	9.397196869																																							
															T1L	D1L	L	D1L	T1L																																											
GP.34	613479.144	9143765.643	55.504							54.648	54.662	55.37	55.51	55.329	54.848	54.263	54.275	54.3	54.853	55.185	55.226	54.93	54.671	54.614																																						
										-4.4882061	-1.694919762	-1.283087682	0	0.473415252	0.743024226	1.481213017	2.500877646	3.50096044	4.033095709	4.357441107	5.782850595	7.016373778	7.804150498	9.1583237																																						
															T1L	D1L	L	D1L	T1L																																											
GP.35	613470.974	9143813.930	55.55							54.813	54.786	55.423	55.572	55.359	54.844	54.361	54.241	54.327	54.813	55.262	55.136	54.617																																								
										-4.232745327	-3.056258661	-1.340531611	0	0.500657567	0.939474321	1.529575758	2.390814505	3.573952574	4.304645165	4.589129765	6.230393968	8.443192583																																								
															T1L	D1L	L	D1L	T1L																																											
GP.36	613464.665	9143862.402	55.539							54.5	54.584	55.34	55.539	55.345	54.843	54.233	54.246	54.309	54.832	55.229	55.255	54.936	54.595	54.54																																						
										-5.138000097	-1.81903326	-1.048023378	0	0.383001305	0.824002427	1.489003022	2.401005206	3.534009055	4.196011916	4.641013036	5.828016815	7.721020982	8.170022093	9.454025598																																						
															T1L	D1L	L	D1L	T1L																																											
GP.37	613478.835	9143938.889	55.441							54.39	54.507	55.055	55.26	55.185	54.778	54.272	54.253	54.329	54.751	55.251	55.163	54.565	54.542																																							
										-5.075268367	-2.32788187	-1.033360054	0	0.439171948	0.755846545	1.345179542	2.526849421	3.441023249	4.121669807	4.382381659	6.910484932	8.365295751	9.613138293																																							
															T1L	D1L	L	D1L	T1L																																											
GP.38	613473.414	9143916.778	55.31							54.431	54.452	55.256	55.31	55.171	54.71	54.321	54.233	54.212	54.705	55.173	55.166	54.549	54.519																																							
										-5.386178051	-1.63631904	-0.718309822	0	0.338008876	0.551982789	1.13733812	2.241303638	3.250509191	3.845908215	4.135545913	5.448396553	7.850064586	9.837079648																																							
															T1L	D1L	L	D1L	T1L																																											
GP.39	613485.778	9143987.785	55.247							54.379	54.623	55.157	55.254	55.219	54.733	54.273	54.199	54.26	54.738	55.256	55.219	54.546	54.548																																							
