Id,Name,Description,X,Y,Z
14,P.14,,612594.57781403069,9141829.58201764,58.328
15,P.14,,612669.0276417014,9141870.2601371109,58.328
0,P.15,,612517.90194555116,9141780.3360111862,58.283
1,P.15,J,612524.14838527981,9141787.74790971,58.501
2,P.15,J,612526.7099862207,9141790.7874533627,58.477
3,P.15,,612529.37856219476,9141793.9539314173,57.973
4,P.15,T1L,612531.81192198175,9141796.8413067218,57.884
5,P.15,D1L,612532.38804053294,9141797.5249172933,55.446
6,P.15,,612554.82186492486,9141824.14443771,55.017
7,P.15,D1L,612569.79385855049,9141841.90990128,55.812
8,P.15,T1L,612569.87570089509,9141842.0070137437,57.855
9,P.15,,612571.717475861,9141844.1924265139,57.759
10,P.15,,612573.808,9141846.673,57.907
11,P.15,,612576.21107167518,9141849.5244360454,58.116
12,P.15,J,612579.47638789355,9141853.3989939559,58.292
13,P.15,J,612582.02316699259,9141856.4209503122,58.26
14,P.15,,612585.80531439453,9141860.9087696075,58.164
0,P.17,,612504.13993618393,9141819.4048698489,58.319
1,P.17,J,612506.38315585779,9141824.5348568372,58.622
2,P.17,J,612508.09672087745,9141828.4535841718,58.652
3,P.17,,612509.5919335623,9141831.8729646746,58.186
4,P.17,,612511.23578609352,9141835.632267518,58.021
5,P.17,T1L,612512.22418097383,9141837.8926136326,58.037
6,P.17,D1L,612512.23179325706,9141837.9100220539,55.946
7,P.17,D1L,612521.20507259888,9141858.4308862388,55.909
8,P.17,T1L,612521.24073013617,9141858.51243095,58.012
9,P.17,,612522.594915258,9141861.6092975363,58.032
10,P.17,,612523.639,9141863.997,58.142
11,P.17,,612524.95913017064,9141867.0159868058,58.23
12,P.17,,612526.76564517489,9141871.14728013,58.258
0,P.18,,612480.22063787351,9141842.0552714337,58.069
1,P.18,J,612485.63288231869,9141850.3854554687,58.451
2,P.18,J,612487.70864750259,9141853.5803418364,58.462
3,P.18,,612489.00041633483,9141855.56855065,58.137
4,P.18,T1L,612490.021954319,9141857.1408372466,57.914
5,P.18,D1L,612490.04047820775,9141857.1693480443,54.988
6,P.18,D1L,612500.92380768619,9141873.9202798232,55.353
7,P.18,T1L,612500.9461453167,9141873.95466049,57.902
8,P.18,,612501.60265372787,9141874.9651166778,57.817
9,P.18,,612502.008,9141875.589,57.857
10,P.18,,612503.383671152,9141877.7063459512,57.944
0,P.19,,612462.04455181945,9141863.0995893553,58.282
1,P.19,J,612466.33916736452,9141868.8211270273,58.324
2,P.19,J,612467.91137845092,9141870.915718466,58.378
3,P.19,T1,612469.06217213278,9141872.4488730263,58.336
4,P.19,L,612470.08570015966,9141873.8124768455,57.317
5,P.19,D1L,612471.83680353465,9141876.1453990415,55.271
6,P.19,D1L,612479.81611997634,9141886.775910465,55.205
7,P.19,L,612481.77613112458,9141889.3871517982,57.286
8,P.19,T1,612482.36503493355,9141890.1717238482,57.804
9,P.19,,612482.685,9141890.598,57.8
10,P.19,,612484.49553403468,9141893.0100991912,57.902
11,P.19,,612487.59133112244,9141897.134500891,57.815
0,P.20,,612441.98885513586,9141877.0641117655,57.795
1,P.20,J,612446.41428568133,9141882.9600381982,58.034
2,P.20,J,612446.25040307967,9141882.7417001724,58.039
3,P.20,,612448.35146207444,9141885.5409056135,58.031
4,P.20,T1,612449.400190664,9141886.938109016,57.856
5,P.20,L,612450.04011320358,9141887.7906670161,57.169
6,P.20,D1L,612451.51685752557,9141889.7581085544,55.126
7,P.20,D1L,612459.86706627312,9141900.88295075,55.11
8,P.20,L,612461.5857325308,9141903.1727008,57.165
9,P.20,T1,612462.37212889735,9141904.2204034086,57.597
10,P.20,,612462.91,9141904.937,57.727
11,P.20,,612464.65027715021,9141907.25554188,57.65
12,P.20,,612466.30110921746,9141909.4549175818,57.684
13,P.20,,612468.45799635118,9141912.3285019118,57.578
0,P.21,,612423.89450986381,9141891.9842565153,57.87
1,P.21,,612426.86984294269,9141896.1755562034,58.015
2,P.21,,612428.96473212808,9141899.12658997,58.025
3,P.21,T1,612429.736929468,9141900.2143708635,57.851
4,P.21,L,612430.40377454716,9141901.1537438668,57.259
5,P.21,D1L,612432.07030838646,9141903.50136095,55.277
6,P.21,D1L,612440.329462544,9141915.1358870063,55.652
7,P.21,L,612441.592531956,9141916.9151508044,57.276
8,P.21,T1,612442.60553446342,9141918.3421497252,57.945
9,P.21,,612443.688,9141919.867,57.906
10,P.21,,612444.59854453953,9141921.1496681739,58.012
11,P.21,,612446.18751132966,9141923.38801791,57.931
12,P.21,,612448.50294563232,9141926.6497297287,57.919
0,P.22,,612406.07827193162,9141906.3396509532,57.652
1,P.22,,612408.03830624861,9141909.3688306231,57.857
2,P.22,T1,612409.66261406685,9141911.87915413,57.851
3,P.22,L,612411.23314045556,9141914.3063599039,57.078
4,P.22,D1L,612413.00629788649,9141917.0467264354,55.056
5,P.22,D1L,612420.02450280392,9141927.8931710478,55.033
6,P.22,L,612421.81287114427,9141930.6570456252,57.059
7,P.22,T1,612422.4892133628,9141931.7023141086,57.424
8,P.22,,612423.347,9141933.028,57.599
